title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,event_date_utc,continent,country
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,7,4,green,0,657,us,114,7.177,25,mww,192.955,-13.8814,167.158,2023-08-16,,Vanuatu
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,8,6,yellow,0,775,us,92,0.679,40,mww,69.727,12.814,-88.1265,2023-07-19,,
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,7,5,green,0,899,us,70,1.634,28,mww,171.371,-38.1911,-70.3731,2023-07-17,South America,Argentina
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,6,6,green,1,860,us,173,0.907,36,mww,32.571,54.3844,-160.699,2023-07-16,,
M 7.3 - Alaska Peninsula,7.3,0,5,,1,820,at,79,0.879451,172.8,Mi,21,54.49,-160.796,2023-07-16,,
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,5,4,green,1,802,us,95,2.454,37,mww,10,20.0196,-61.0955,2023-07-10,,
M 6.9 - Tonga,6.9,4,4,green,1,741,us,136,1.179,23,mww,229,-17.853,-174.937,2023-07-02,,
M 7.2 - south of the Fiji Islands,7.2,8,6,green,1,804,us,85,2.59,24,mww,167.404,-22.9824,-177.208,2023-06-15,,
M 6.6 - Panama-Colombia border region,6.6,6,6,green,1,733,us,50,2.163,129,mww,10,8.8894,-77.1231,2023-05-25,,Colombia
M 7.1 - southeast of the Loyalty Islands,7.1,3,4,green,1,777,us,98,2.812,56,mww,35.981,-23.0622,170.456,2023-05-20,,
M 7.7 - southeast of the Loyalty Islands,7.7,5,4,green,1,927,us,277,3.111,15,mww,18.027,-23.2286,170.694,2023-05-19,,
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,8,6,green,1,907,us,111,3.631,17,mww,210.097,-15.6002,-174.608,2023-05-10,,
M 6.6 - south of the Fiji Islands,6.6,0,2,green,0,670,us,52,5.123,50,mww,598.467,-25.2657,178.424,2023-04-28,,
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,9,7,green,0,838,us,70,2.282,58,mww,15.462,-0.781,98.5339,2023-04-24,,Indonesia
"M 7.1 - Kermadec Islands, New Zealand",7.1,8,7,green,1,777,us,126,0.708,23,mww,43.063,-30.0249,-177.897,2023-04-24,,
