fema_declaration_string,disaster_number,state,declaration_type,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,tribal_request,fips,place_code,designated_area,declaration_request_number,incident_id,region,designated_incident_types,hash,id,event_date_utc,latitude,longitude
DR-3-LA,3,LA,DR,1953,Flood,Flood,0,1,1,1,0,22000,0,Statewide,53005,53005,6,NA,b6e6f19ae3c0d2383b7b873b8495bd2770f2ff9a,cd461e08-5ac9-4e70-8507-9c7a3cbff265,1953-05-29,31.169546,-91.867805
DR-5-MT,5,MT,DR,1953,Flood,Floods,0,1,1,1,0,30000,0,Statewide,53006,53006,8,NA,3bdbec258e4640c3f02971dbc1f9dbc3ebbfc96a,4b3ed0ac-299b-49f0-80d4-9a2a6bacd5a4,1953-06-06,46.921925,-110.454353
DR-8-IA,8,IA,DR,1953,Flood,Flood,0,1,1,1,0,19000,0,Statewide,53008,53008,7,NA,a051dd98c34a0ec2485d0f6b5b11d4d93509ad88,f100b5c1-0f3f-4c3d-ad3c-50040e98ed8d,1953-06-11,42.011539,-93.210526
DR-9-TX,9,TX,DR,1953,Flood,Flood,0,1,1,1,0,48000,0,Statewide,53010,53010,6,NA,2488a86cd6660a72865d1e6da2b16eac37753a33,6ef68fa6-5889-466b-9e3b-ee4c06da0876,1953-06-19,31.054487,-97.563461
DR-12-FL,12,FL,DR,1954,Flood,Flood,0,1,1,1,0,12000,0,Statewide,53015,53015,4,NA,acd9dedcbf3a526b641416f31058b9288eff01b9,728c3d8d-3b58-4b18-8320-ffe527ddbc68,1953-10-22,27.766279,-81.686783
DR-15-CA,15,CA,DR,1954,Flood,Flood & Erosion,0,1,1,1,0,06000,0,Statewide,54016,54016,9,NA,bb406aed85108d8f443b66391a201ec1dc536b19,de6f0ab8-5a0d-4c78-b70e-8d522d629747,1954-02-05,36.116203,-119.681564
DR-17-IA,17,IA,DR,1954,Flood,Flood,0,1,1,1,0,19000,0,Statewide,54006,54006,7,NA,8233ddf3dee3ab2c8729a8ecfa5ae91c1b4e24fb,6ac44920-f942-4273-bd62-f441ccc06e7e,1954-06-23,42.011539,-93.210526
DR-18-TX,18,TX,DR,1954,Flood,Flood,0,1,1,1,0,48000,0,Statewide,54004,54004,6,NA,6dbf3a98b6e7951d621bd759691d0f6f6a68ad69,28d42574-2eaa-49b9-9db4-2b31507a45cd,1954-07-01,31.054487,-97.563461
DR-20-SD,20,SD,DR,1954,Flood,Flood,0,1,1,1,0,46000,0,Statewide,54005,54005,8,NA,a9851b180992566f93eb03c62c77f28b4521dc6e,622f21a9-39eb-47aa-b455-52780a5e317c,1954-07-31,44.299782,-99.438828
DR-21-WV,21,WV,DR,1954,Flood,Flood,0,1,1,1,0,54000,0,Statewide,54007,54007,3,NA,59d0c5dec67d6d294f0029cca3b3ffd93fb6dc30,a584433f-5362-47c1-b26b-201ff43f3a49,1954-08-04,38.491226,-80.954453
DR-27-NM,27,NM,DR,1955,Flood,Flood,0,1,1,1,0,35000,0,Statewide,54017,54017,6,NA,6791ce4c16f606fb5ff42c90f4a2ff78bfdf0400,c5b57cc5-10f9-4d39-9326-60b8c793f924,1954-10-13,34.840515,-106.248482
