fema_declaration_string,disaster_number,declaration_type,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,tribal_request,declaration_request_number,incident_id,designated_incident_types,hash,id,latitude,longitude,event_date_utc
DR-1-GA,1,DR,1953,Tornado,Tornado,0,1,1,1,0,53013,53013,NA,413ff808d79f08a6710f6b78f361d5a7de692711,8943dfcf-9786-4e51-8889-d62014034bb2,,,1953-05-02
DR-2-TX,2,DR,1953,Tornado,Tornado & Heavy Rainfall,0,1,1,1,0,53003,53003,W,8a8bc885c003cb873c201bb6a3a2771a6d84efb1,ff821327-6b90-4246-b19f-fff8c4b288a8,,,1953-05-15
DR-4-MI,4,DR,1953,Tornado,Tornado,0,1,1,1,0,53004,53004,NA,34f0061012c8069f145d56a3537cd327b7d4e49b,53be0c04-d2ae-42fb-b070-a01b0a50b7f6,,,1953-06-02
DR-6-MI,6,DR,1953,Tornado,Tornado,0,1,1,1,0,53007,53007,NA,e5485e89e6233b1dc7b59eb2d9347201f06477cc,ae38bae3-df0e-4407-a324-262bb66bb816,,,1953-06-09
DR-7-MA,7,DR,1953,Tornado,Tornado,0,1,1,1,0,53009,53009,NA,b720724cfb17afaba95e73a92fdf09b1fd6d0e5f,fca83efc-524a-45a0-ac98-2d43b954a5ea,,,1953-06-11
DR-14-MS,14,DR,1954,Tornado,Tornado,0,1,1,1,0,53014,53014,NA,7950cb174196603cbf9da7bed90f0cea06fcbc37,3fa605b7-48ba-4fd9-afdc-5de34fe6ece1,,,1953-12-06
DR-16-GA,16,DR,1954,Tornado,Tornado,0,1,1,1,0,54003,54003,NA,ff5b95688ad514a044c96ab554e8270bd0b994c7,0e461c0c-cb9b-4fd8-b5a0-ff843ce407a6,,,1954-03-17
DR-23-RI,23,DR,1954,Hurricane,Hurricanes,0,1,1,1,0,54009,54009,F,c80457578b3e3cf2732d1d3d7fda231981cfd51b,8651012e-0635-4b0e-acca-727176e3acc8,,,1954-09-02
DR-22-MA,22,DR,1954,Hurricane,Hurricanes,0,1,1,1,0,54008,54008,F,4be5c5403c4e310e041dbf82643ceaee6fb2851f,b4aa518d-6953-45c5-9ef9-5e0a6ec5ec53,,,1954-09-02
DR-24-ME,24,DR,1954,Hurricane,Hurricanes,0,1,1,1,0,54011,54011,F,5fd08f98ee48a10787d6ca70e31cb40a4790dac5,232bc345-c512-479a-8deb-ce1e9b221c1b,,,1954-09-13
DR-25-CT,25,DR,1954,Hurricane,Hurricanes,0,1,1,1,0,54013,54013,F,de950b453efae6ca68df43b28734d2439376b083,9427c8c0-2b51-4c5b-a9df-fed63989753d,,,1954-09-17
DR-26-NY,26,DR,1955,Hurricane,Hurricanes,0,1,1,1,0,54012,54012,F,54fa0c74e76fc447b917be88576404be8a9322b4,194e60b9-e71c-45a3-a5be-09ff7310673c,,,1954-10-07
DR-29-SC,29,DR,1955,Hurricane,Hurricane,0,1,1,1,0,54015,54015,F,e8f926070bf3e2a700ed4802523e59d5df71f6c6,eb746761-aa18-438a-8458-0712bd9b81c1,,,1954-10-17
DR-28-NC,28,DR,1955,Hurricane,Hurricane,0,1,1,1,0,54014,54014,F,25a7536c097742b85da6757d16f03720d68044f2,831fb666-2973-446f-966c-75290c659776,,,1954-10-17
DR-34-KS,34,DR,1955,Tornado,Tornado,0,1,1,1,0,55005,55005,NA,55e4d18fc54d8b7f107b5db954710cf39aedea33,75da08ad-d8a0-403c-b393-0640cae061de,,,1955-05-27
DR-37-NC,37,DR,1955,Hurricane,Hurricanes,0,1,1,1,0,55008,55008,F,70d0f2be4a1b1a857a21a62c5e0e443120c30901,f65d686f-5852-48f8-a6ee-42a5e5608898,,,1955-08-13
DR-44-SC,44,DR,1955,Hurricane,Hurricanes,0,1,1,1,0,55016,55016,F,21ef9566eafb539b29062863e64ccd5717dd84d5,a6f25df9-e30f-4ea9-9eea-4b36a78443ae,,,1955-08-20
DR-43-MA,43,DR,1955,Hurricane,Hurricane & Floods,0,1,1,1,0,55014,55014,F,e224ff5c549b1355489c8c2bb6503d6242423991,ad7ca800-7ad9-42cb-bc87-349e3e9742f5,,,1955-08-20
DR-42-CT,42,DR,1955,Hurricane,"Hurricane, Torrential Rain & Floods",0,1,1,1,0,55013,55013,"F,W",de02ac3a235ab2433e3bbd02592a8028ba34db8a,4bd0bcaf-cc7d-4fd3-8060-c9c1892151e7,,,1955-08-20
DR-41-NJ,41,DR,1955,Hurricane,Hurricane & Floods,0,1,1,1,0,55012,55012,F,9787cb08a78325a758793f294f7aec46969a9b33,17eeb0f5-b9d1-4aaa-9a42-0568ed1c9c50,,,1955-08-20
DR-39-RI,39,DR,1955,Hurricane,Hurricane & Flood,0,1,1,1,0,55010,55010,F,2566b7fd6bdeaf1f444622870e56897647bbb99d,d511f507-2379-4357-8e11-af2be7294193,,,1955-08-20
DR-45-NY,45,DR,1955,Hurricane,Hurricane & Floods,0,1,1,1,0,55015,55015,F,6488a9ffcf881e4a0c5a26e3fb366934e29a4ccf,6bd75683-dc52-4a5a-9133-2be2f9e57c9f,,,1955-08-22
